rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
184,"spotify:track:0bjlFt58yASZpLsTPb1eT1","Papi Santana, Kid Canady","Helt Aktiv","Coda",184,-1,1,"125552"
185,"spotify:track:4iz9lGMjU1lXS51oPmUmTe","Kanye West, Chris Martin","Homecoming","Roc-A-Fella",111,151,31,"125407"
186,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,147,245,"124643"
187,"spotify:track:4SS4YfDAEQG0fZAe1xfgn3","Victor Leksell","Svag","Columbia",1,153,299,"124310"
188,"spotify:track:21IYMdzTrzSe191Cy5eMap","Gigi Perez","Sailor Song","Outtahere, LLC / Island Records",5,157,60,"124226"
189,"spotify:track:2wGSgTmgSF3xjRrHkTc25R","The Game, 50 Cent","Hate It Or Love It","Geffen",67,149,43,"123852"
190,"spotify:track:541sN2qNfIlllGn9nGOQoC","Tate McRae","Revolving door","RCA Records Label",32,-1,19,"123579"
191,"spotify:track:00bc0LQQBwiu9XpF6IfzLQ","Dani M","HIPHOP","GMG SWEDEN AB",191,-1,1,"123363"
192,"spotify:track:6Vbgg3C5Qo7olhjIIr1r4e","Bolaget, Victor Leksell","Låt Mig Va","WM Sweden",1,178,100,"122944"
193,"spotify:track:56Fu41EhpsPqqfDZsj3eaN","Stray Kids","Do It","Republic Records - Stray Kids",193,-1,1,"122895"
194,"spotify:track:6QAsrXPnMSXIbV0yEJHlEX","Metallica","Nothing Else Matters - Remastered 2021","Blackened Recordings / Universal Music",83,170,11,"122854"
195,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",11,160,151,"122549"
196,"spotify:track:792FHkvZbBQuWWM1a4TfL8","Alex Warren","Before You Leave Me","Atlantic Records",34,-1,31,"122530"
197,"spotify:track:1K2a8QcaPTDTZ1e4M0s8gQ","Tjuvjakt","Tandtråd","Parlophone Sweden",22,132,179,"122297"
198,"spotify:track:2cubNnPImuh0D1FO2VAIpG","24K, Lelo","Claro","24K",198,-1,1,"121643"
199,"spotify:track:5Hk4Mpex0s2ndUpDQ5v2rU","Dire Straits","Walk Of Life - Remastered 1996","UMC (Universal Music Catalogue)",98,195,45,"121529"
200,"spotify:track:7FwBtcecmlpc1sLySPXeGE","Bruce Springsteen","Dancing In the Dark","Columbia",63,116,64,"121299"
