rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
173,"spotify:track:2ZvQ60llWT1r7KbTAsozYW","Jannika B","Jossain sä oot","Universal Music Oy",173,-1,1,"57166"
174,"spotify:track:6Qt8lAqvwTsfTdVzxJxGBv","VIIVI","Olen kaunis (syntynyt voittamaan) [Vain elämää kausi 16]","WM Finland",8,127,9,"57070"
175,"spotify:track:7uJgN4tjQxNX4NYXPxtLyU","VIIVI, AHTI","Lauseet on vaan lauseita","WM Finland",58,160,23,"56893"
176,"spotify:track:5sxAbVE0ZP9QnaHY64AIDn","Ares","Kokonainen","WM Finland",24,165,57,"56836"
177,"spotify:track:3g1BfmXifo0XZ7bKeRMSg7","Jore & Zpoppa, Turisti","Dead Presidents","WM Finland",5,159,57,"56785"
178,"spotify:track:1NXbNEAcPvY5G1xvfN57aA","Tame Impala","Dracula","Columbia",112,140,6,"56409"
179,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",53,-1,54,"55893"
180,"spotify:track:1dByUyyoRKL99fJJ6VCQzb","Tate McRae","TIT FOR TAT","RCA Records Label",53,-1,5,"55808"
181,"spotify:track:1SkuxndeS4pJpnHTkG6t9T","Isac Elliot, Miriam Bryant","Otan Kii","WM Finland",3,-1,64,"55787"
182,"spotify:track:1ojFYRefJzbAHXvol0NGHz","Eppu Normaali","Murheellisten laulujen maa - 2007 Digital Remaster","POKO",145,-1,8,"55730"
183,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",145,157,17,"55674"
184,"spotify:track:1IcR6RlgvDczfvoWJSSY2A","Andy Williams","It's the Most Wonderful Time of the Year","Columbia",16,-1,33,"55537"
185,"spotify:track:4n6PzDyWGkjAVRl74aR8Pb","Sliki, Turisti","Ne oli vääräs (feat. Turisti)","Sony Music Entertainment Finland",5,166,55,"55526"
186,"spotify:track:7m7Mmlw9m1NJxcYbvdW2z7","Lauri Haav, Mirella","Aja tai kuole","PME Records",1,193,27,"55416"
187,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",187,187,2,"55316"
188,"spotify:track:50MCpRAPLw8KXn8j6j2yb7","KUUMAA","Tulipalo","Universal Music Oy",3,178,161,"55244"
189,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",44,151,186,"55229"
190,"spotify:track:1mPhok2ZHTke7qldDu70x9","emma & matilda","Liikaa","WM Finland",24,174,8,"54961"
